Question,Answer
who suggested lincoln grow a beard?,11-year-old grace bedell
who suggested lincoln grow a beard?,grace bedell
which county was lincoln born in?,hardin county
which county was lincoln born in?,"southeast hardin county, kentucky"
who was the general in charge at the battle of antietam?,general mcclellan
who was the general in charge at the battle of antietam?,john alexander mcclernand
why did lincoln issue the emancipation proclamation?,to free slaves 
why did lincoln issue the emancipation proclamation?,"the goal was to weaken the rebellion, which was led and controlled by slave owners"
do scholars rank lincoln among the top three presidents?,yes
did lincoln have 18 months of schooling?,yes
was lincoln chosen as a presidential candidate in 1860?,yes
how old was lincoln in 1816?,seven
when was the first photgraph of lincoln taken?,1846
how long was lincolns legal career?,23 years
what trail did lincoln use a farmers almanac in? ,"he defended william ""duff"" armstrong"
did abraham lincoln live in the frontier?,yes
did lincolns wifes family support slavery?,yes
who is most noted for his contributions to the theory of molarity and molecular weight?,amedeo avogadro
who graduated in ecclesiastical law at the early age of 20 and began to practice?,amedeo avogadro
who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah
when did he publish another memoria?,1821
when did he become a professor?,1820
is it true that he became a professor in 1820?,yes
was lorenzo romano amedeo carlo avogadro an italian savant?,yes
"was amedeo avogadro born in turin august 9th 1776 to a noble ancient family of piedmont, italy?",yes
is he most noted for his contributions to the theory of molarity and molecular weight?,yes
is avogadro s number commonly used to compute the results of chemical reactions ?,yes
did the scientific community not reserve great attention to his theory ?,yes
can the title of this famous 1811 paper be roughly translated into english?,yes
what happened in 1833?,avogadro had been recalled to turin university
what happened in 1833?,blah blah blah
who determined the dependence of the boiling of water with atmospheric pressure?,anders celsius
what is named after him?,the celsius crater on the moon
when did he publish a collection?,1733
is it true that he published a collection in 1738?,no
is it true that thermometer had 100 for the freezing point?,yes
was celsius born in uppsala in sweden?,yes
"was anders celsius (november 27, 1701 april 25, 1744) a swedish astronomer?",yes
is the celsius crater on the moon named after him?,yes
who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,anders celsius
the celsius crater on the moon is what?,named after him
had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,yes it had
was celsius born in uppsala in sweden ?,yes
did he not determine the dependence of the boiling of water with atmospheric pressure -lrb- in excellent agreement with modern data -rrb- ?,yes he did
what happened from 1730 to 1744?,he was professor of astronomy at uppsala university
what happened in 1745?,the scale was reversed
how can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
how can beetle larvae be differentiated from other insect larvae?,"by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
what do beetles eat?,"some are generalists, eating both plants and animals other beetles are highly specialised in their diet"
what do beetles eat?,"they often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates"
what are the similarities between beetles and grasshoppers?,mouthparts
what are the similarities between beetles and grasshoppers?,beetles have mouthparts similar to those of grasshoppers
how many species of beetles are there?,"350,000"
how many species of beetles are there?,"about 350,000"
is the adephaga suborder larger than the polyphaga suborder?,no
is the adephaga suborder larger than the polyphaga suborder?,yes
what are prey of various animals including birds and mammals?,beetles
what was given by aristotle for the hardened shield like forewings?,"the name ""coleoptera"""
who or what vary greatly in form within the coleoptera?,antennae
are many beetles territorial?,yes
are beetles endopterygotes with complete metamorphosis?,yes
oxygen is what?,one kind of gas obtained via a tracheal system
is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,yes
have coleopterists formed organisations to facilitate the study of beetles ?,yes
"is the study of beetles called coleopterology , and its practitioners are coleopterists ?",yes
may a single female lay from several dozen to several thousand eggs during her lifetime ?,yes
can beetles be found in almost all habitats?,yes
what happened on plants and fungi?,they are food to beetles
was calvin coolidge the twenty-ninth vice president?,no
was calvin coolidge the twenty-ninth vice president?,yes
when did coolidge meet and marry grace anna goodhue?,1905
when did coolidge meet and marry grace anna goodhue?,in 1905
what period of rapid economic growth did the united states experience during coolidges presidency?,the roaring twenties
what period of rapid economic growth did the united states experience during coolidges presidency?,"the ""roaring twenties"""
what did coolidge do after graduating from amherst?,"coolidge moved to northampton, massachusetts"
what did coolidge do after graduating from amherst?,"coolidge moved to northampton, massachusetts to take up the practice of law"
of what state was coolidge governor?,massachusetts
was coolidge the thirteenth president of the united states?,no
was coolidge the thirteenth president of the united states?,yes
when was coolidge born?,july 4 1872
when was coolidge born?,"plymouth, windsor county, vermont"
where did coolidges grandfather had government offices?,plymouth
where did coolidges grandfather had government offices?,the town of plymouth notch
which state were coolidge born in?,"plymouth, windsor county, vermont"
which state were coolidge born in?,vermont
was coolidge opposed in the republican nomination for governor of massachusetts in 1918?,yes
was coolidge opposed in the republican nomination for governor of massachusetts in 1918?,no
why did coolidge not attend law school?,it was too expensive
why did coolidge not attend law school?,cost
"in addition to port royal, where else did samuel de champlain establish a settlement?",quebec city
what was the consitution act formerly called?,the british north america act
what was the consitution act formerly called?,british north america act
which countries established colonies in canada?,france and britain
which countries established colonies in canada?,fance and britain
how has canada helped un peacekeeping efforts?,"during the suez crisis of 1956, lester b pearson eased tensions by proposing the inception of the united nations peacekeeping force canada has since served in 50 peacekeeping missions, including every un peacekeeping effort until 1989"
how has canada helped un peacekeeping efforts?,"canada has played a leading role in un peacekeeping efforts during the suez crisis of 1956, lester b pearson eased tensions by proposing the inception of the united nations peacekeeping force canada has since served in 50 peacekeeping missions, including every un peacekeeping effort until 1989"
what percentage of the population dont speak english or french at home?,28%
what percentage of the population dont speak english or french at home?,15%
is canada bilingual?,yes
is canada bilingual?,"yes, it is"
did canadian soldiers win the battle of vimy ridge in 1917?,yes
did canadian soldiers win the battle of vimy ridge in 1917?,"no, it did not"
is an official language of canada german?,no
is an official language of canada german?,"no, it is not"
how many provinces and territories does canada have?,a federation now comprising ten provinces and three territories
how many provinces and territories does canada have?,ten provinces and three territories
what is canadas national unemployment rate?,"while as of october 2007, canadas national unemployment rate of 59% is its lowest in 33 years provincial unemployment rates vary from a low of 36% in alberta to a high of 146% in newfoundland and labrador "
what is canadas national unemployment rate?,"in october 2007, canadas national unemployment rate is 59%"
what is the largest country in the world?,"canada is the second largest country in the world, after russia, and largest on the continent"
what is the largest country in the world?,russia
